##analysisDate=2017-05-10-14-12-40000
##analyzedBy=RingStudy Site F
##exportDate=2017-11-08-10-56-38000
##analysisName=Site F-Sample 10-C_RNA
##workflowName=Oncomine Comprehensive v3 - w2.1 - Fusions - Single Sample
##sampleNames=Site F-Sample 10-C_RNA_v1
##reference=hg19
##variantGroup=DEFAULT
##filterChain=Site D_NoRef
##searchText=
##chromosome=All
##totalVariantCount=867
##filterInCount=16
##filteredOutCount=851
##hiddenVariantCount=0
Locus	Type	Genes (Exons)	Read Counts	Oncomine Variant Class	Oncomine Gene Class	Detection	3'/5' Imbalance	COSMIC/NCBI	Variant ID	Read Counts Per Million
chr1:204485637	GENE_EXPRESSION	MDM4	126			Present			MDM4.E1E2	1.9545e-10
chr1:204494724	GENE_EXPRESSION	MDM4	39271			Present			MDM4-MDM4.M2M11	6.0917e-08
chr1:204494724	GENE_EXPRESSION	MDM4	78177			Present			MDM4.E3E4	1.2127e-07
chr7:55269048	GENE_EXPRESSION	EGFR	19241			Present			EGFR-EGFR.E25E18.KDD	2.9846e-08
chr7:116395569	GENE_EXPRESSION	MET	57			Present			MET.E7E8	8.8417e-11
chr7:140439646	GENE_EXPRESSION	BRAF	9358			Present			BRAF.E16E17	1.4516e-08
chr7:140501300	GENE_EXPRESSION	BRAF	137			Present			BRAF.E5E6	2.1251e-10
chr13:32899321	GENE_EXPRESSION	BRCA2	4766			Present			BRCA2.E5E6	7.3929e-09
chr13:32937670	GENE_EXPRESSION	BRCA2	22			Present			BRCA2.E18E19	3.4126e-11
chr13:48919335	GENE_EXPRESSION	RB1	494			Present			RB1.E4E5	7.6628e-10
chr13:49050979	GENE_EXPRESSION	RB1	56			Present			RB1.E26E27	8.6866e-11
chr17:41215907	GENE_EXPRESSION	BRCA1	66550			Present			BRCA1-BRCA1.B15B18	1.0323e-07
chr17:41215907	GENE_EXPRESSION	BRCA1	287			Present			BRCA1-BRCA1.B16B18	4.4519e-10
chr17:41256152	GENE_EXPRESSION	BRCA1	1127			Present			BRCA1.E5E6	1.7482e-09
chrX:66766604	GENE_EXPRESSION	AR	193			Present			AR.E1E2	2.9938e-10
chrX:66942826	GENE_EXPRESSION	AR	36525			Present			AR.E7E8	5.6657e-08
